Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 Eldrive Gazprom,бул. Цариградско шосе №355,https://bg.fuelo.net/gasstation/id/64830?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.638756,23.413195&travelmode=driving"
 Eldrive София Capital Fort,бул. Цариградско шосе №90,https://bg.fuelo.net/gasstation/id/64831?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.646912,23.395130&travelmode=driving"
 Eldrive София Metro 1,бул. Цариградско шосе №7-11,https://bg.fuelo.net/gasstation/id/64832?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.647472,23.393730&travelmode=driving"
 Eldrive Килер,ул. Абагар №22 (НПЗ Изток),https://bg.fuelo.net/gasstation/id/64833?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.642620,23.395901&travelmode=driving"
 Eldrive Vassilevi Plaza,ул. Индустриална,https://bg.fuelo.net/gasstation/id/64834?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.707279,23.335155&travelmode=driving"
 Eldrive Hyatt Regency,бул. Янко Сакъзов,https://bg.fuelo.net/gasstation/id/64835?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.696251,23.336042&travelmode=driving"
 Eldrive София Фантастико 3,"ул. Коста Лулчев №52 (Sky city Mall, Ground floor)",https://bg.fuelo.net/gasstation/id/64836?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.679817,23.367535&travelmode=driving"
 Eldrive Мол Сердика център,"бул. Ситняково №48 (паркинг ниво -2, Zone H, място 429)",https://bg.fuelo.net/gasstation/id/64837?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.691349,23.353001&travelmode=driving"
 Eldrive Шейново,ул. Шейново №7,https://bg.fuelo.net/gasstation/id/64838?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.692608,23.337519&travelmode=driving"
 Eldrive OMV Цариградско север,бул. Цариградско шосе,https://bg.fuelo.net/gasstation/id/81224?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.656776,23.386084&travelmode=driving"
 Eldrive FPI Hill Tower,бул. Джеймс Баучер №76A,https://bg.fuelo.net/gasstation/id/64840?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.672497,23.320374&travelmode=driving"
